"id","peso"
"5","GLP 5 KG"
"8","GLP 8 KG"
"13","GLP 13 KG"
"20","GLP 20 KG"
"45","GLP 45 KG"
"90","GLP 90 KG"
"Get premium access to remove the limitation.",
